song_id,pattern,frequency,salience
NLB072283_01,5_3_8_6_5_3,2,0.2247858863393638
NLB072283_01,5_3_8_6_5,2,0.2136176820929147
NLB072283_01,5_3_8_6,2,0.20495494987565843
NLB072283_01,3_8_6_5_3_1,2,0.18213628248001698
NLB072283_01,3_8_6_5_3,2,0.18213628248001698
NLB072283_01,3_8_6_5,2,0.17434597669523805
NLB072283_01,3_8_6,2,0.1649837419057337
NLB072283_01,5_3,6,0.1308690966196453
NLB072283_01,8_8,5,0.1137320002604996
NLB072283_01,6_5_3,3,0.08950375942032092
NLB072283_01,8_6_5,3,0.08499150652597344
NLB072283_01,8_6,3,0.07579649516001782
NLB072283_01,6_5,3,0.06940000963049242
NLB072283_01,3_1,3,0.06543454830982265
