song_id,pattern,frequency,salience
NLB075040_01,1_3_1_3_5_5,2,0.16980516930986064
NLB075040_01,1_1_1_3_1_3,2,0.16980516930986064
NLB075040_01,8_1_1_1_3_1,2,0.16980516930986064
NLB075040_01,1_1_3_1_3_5,2,0.16564664290909373
NLB075040_01,1_3_1_3_5,2,0.16564664290909373
NLB075040_01,1_1_3_1_3,2,0.16192671428338132
NLB075040_01,1_3_1_3,2,0.16192671428338132
NLB075040_01,8_8,6,0.12412237986610856
NLB075040_01,1_1,4,0.11057115815205856
NLB075040_01,1_3,4,0.08855535951810357
NLB075040_01,10_10,3,0.08723205521427725
NLB075040_01,5_5,3,0.08292836861404392
NLB075040_01,8_1,2,0.04195965690491581
NLB075040_01,3_1,2,0.03967363745508983
