song_id,pattern,frequency,salience
NLB072898_01,8_8_5_3_6_5,2,0.1606741428374175
NLB072898_01,5_8_8_5_3_6,2,0.1606741428374175
NLB072898_01,1_3_5_8_8_5,2,0.1606741428374175
NLB072898_01,8_8_5_3_6,2,0.15415840378435386
NLB072898_01,3_5_8_8_5_3,2,0.14883465734032172
NLB072898_01,8_5_3_6_5_3,2,0.14433349385748162
NLB072898_01,8_5_3_6_5,2,0.14433349385748162
NLB072898_01,5_5,6,0.1371689266916697
NLB072898_01,5_5_5,4,0.1333674563339648
NLB072898_01,5_3,7,0.11483986876365636
NLB072898_01,3_1,6,0.09843417322599117
NLB072898_01,5_3_1,5,0.09837505731935801
NLB072898_01,8_8,4,0.06843550206519847
NLB072898_01,8_1,3,0.052053005487044855
