song_id,pattern,frequency,salience
NLB070360_01,1_5_8_10_8_3,3,0.20016124114422612
NLB070360_01,5_8_10_8_3,3,0.18690769362938975
NLB070360_01,1_5_8_10_8,3,0.14656275466298427
NLB070360_01,1_5_8_10,3,0.14246583239483607
NLB070360_01,8_10_8_3,3,0.14246583239483607
NLB070360_01,5_8_10_8,3,0.13215127786703398
NLB070360_01,8_1_5_8_10_8,2,0.12460512908625984
NLB070360_01,8_10_8,4,0.09349561864258583
NLB070360_01,10_8,5,0.0806031410889677
NLB070360_01,5_8,4,0.0730666610307796
NLB070360_01,8_10,4,0.07285606778603115
NLB070360_01,3_5,4,0.06539371977223313
NLB070360_01,1_5,3,0.06074345874018596
NLB070360_01,8_1,3,0.04946078519404727
