song_id,pattern,frequency,salience
NLB070089_01,8_5_8,3,0.1527090775843171
NLB070089_01,8_5_8_1,2,0.1431488115832097
NLB070089_01,12_6_6_6_8,1,0.11814825749201412
NLB070089_01,5_3_1_10_12_3,1,0.11814825749201412
NLB070089_01,1_10_12_3_1,1,0.11814825749201412
NLB070089_01,1_12_6_6_6_8,1,0.11814825749201412
NLB070089_01,12_6_6_6_8_12,1,0.11814825749201412
NLB070089_01,6_6,2,0.08381072664079689
NLB070089_01,8_5,3,0.08128200950132047
NLB070089_01,5_8,3,0.07532701615991932
NLB070089_01,10_12,2,0.06597301925326673
NLB070089_01,3_1,3,0.06428376992717029
NLB070089_01,8_1,2,0.04532522692181436
