tunefamily,pattern,frequency,salience
Femmes_voulez_vous_eprouver,8_8,52,0.19574398221720501
Femmes_voulez_vous_eprouver,10_8,43,0.16186521606422724
Femmes_voulez_vous_eprouver,6_5,38,0.1430436793125729
Femmes_voulez_vous_eprouver,5_3,38,0.1430436793125729
Femmes_voulez_vous_eprouver,8_6,32,0.1204578352105877
Femmes_voulez_vous_eprouver,3_1,32,0.1204578352105877
Femmes_voulez_vous_eprouver,8_10,30,0.11719120633081785
Femmes_voulez_vous_eprouver,5_5,27,0.10547208569773607
Femmes_voulez_vous_eprouver,5_8,27,0.10547208569773607
Femmes_voulez_vous_eprouver,8_6_5,28,0.10540060580926425
