tunefamily,pattern,frequency,salience
Kom_laat_ons_nu_zo_stil_niet_zijn_1,10_8,75,0.21478077715909222
Kom_laat_ons_nu_zo_stil_niet_zijn_1,8_8,62,0.1775521091181829
Kom_laat_ons_nu_zo_stil_niet_zijn_1,5_3,54,0.1546421595545464
Kom_laat_ons_nu_zo_stil_niet_zijn_1,3_5,50,0.14318718477272815
Kom_laat_ons_nu_zo_stil_niet_zijn_1,6_5_3,41,0.14145911854489004
Kom_laat_ons_nu_zo_stil_niet_zijn_1,3_5_7_8,13,0.13412333835381696
Kom_laat_ons_nu_zo_stil_niet_zijn_1,5_7_8,13,0.13412333835381696
Kom_laat_ons_nu_zo_stil_niet_zijn_1,3_5_7,13,0.13412333835381696
Kom_laat_ons_nu_zo_stil_niet_zijn_1,6_5,43,0.1231409789045462
Kom_laat_ons_nu_zo_stil_niet_zijn_1,8_10,41,0.12184471519297299
Kom_laat_ons_nu_zo_stil_niet_zijn_1,8_1,38,0.10882226042727339
Kom_laat_ons_nu_zo_stil_niet_zijn_1,12_10,36,0.10309477303636426
Kom_laat_ons_nu_zo_stil_niet_zijn_1,8_10_8,33,0.10177663292952441
