song_id,pattern,frequency,salience
NLB073404_01,1_3_3_5_3_8,2,0.1684714708298661
NLB073404_01,3_1_1_3_3_5,2,0.1684714708298661
NLB073404_01,8_12_10_8,3,0.15680092926410083
NLB073404_01,3_3_5_3_8_8,2,0.1385985091434626
NLB073404_01,1_1_3_3_5_3,2,0.1385985091434626
NLB073404_01,3_3_5_3_8,2,0.1385985091434626
NLB073404_01,8_12_10,3,0.13714804872935768
NLB073404_01,8_8,7,0.11152545229977569
NLB073404_01,3_3,4,0.0838462292629589
NLB073404_01,5_3,5,0.07638694453344712
NLB073404_01,1_1,3,0.06386754630947047
NLB073404_01,10_8,4,0.06319478549822789
NLB073404_01,8_6,3,0.05308996077305085
NLB073404_01,3_1,3,0.045832166720068276
