song_id,pattern,frequency,salience
NLB072255_01,8_8_1_3,2,0.16141242751702456
NLB072255_01,5_1_8_8,2,0.1593895546334506
NLB072255_01,5_1_8,2,0.1306512082935765
NLB072255_01,8_10_10_10_8_8,1,0.1284395738120279
NLB072255_01,5_8_5_1,1,0.1284395738120279
NLB072255_01,5_8_5_1_8_8,1,0.1284395738120279
NLB072255_01,3_5_8_5_1_8,1,0.1284395738120279
NLB072255_01,8_8,4,0.09717139299282285
NLB072255_01,8_1,3,0.0739099283266803
NLB072255_01,10_10,2,0.06829115207057547
NLB072255_01,1_5,2,0.06051318789472209
NLB072255_01,5_8,2,0.054592255851456946
NLB072255_01,1_3,2,0.05199534312810872
NLB072255_01,3_5,2,0.048859365277145454
